from	to
000431669500004	A1983PY32000010
000431095700002	A1983PY32000010
000433893200055	A1983PY32000010
000432310000001	A1983PY32000010
000433287700001	A1983PY32000010
000430902500006	A1983PY32000010
000428937200013	A1983PY32000010
000430499000001	A1983PY32000010
000438900800002	A1983PY32000010
000436649700017	A1983PY32000010
000435567200105	A1983PY32000010
000431161200007	A1983PY32000010
000430889200009	A1983PY32000010
000430644100023	A1983PY32000010
000430577600002	A1983PY32000010
000430423100002	A1983PY32000010
000429878100002	A1983PY32000010
000429907700003	A1983PY32000010
000431187900001	A1983PY32000010
000430723900002	A1983PY32000010
000427682500031	A1983PY32000010
000432292100004	A1983PY32000010
000429554300007	A1983PY32000010
000429155900004	A1983PY32000010
000429899500006	A1983PY32000010
000430646700023	A1983PY32000010
000430400800003	A1983PY32000010
000435581200005	A1983PY32000010
000435179900011	A1983PY32000010
000434117700003	A1983PY32000010
000430763600012	A1983PY32000010
000427264000004	A1983PY32000010
000430464500007	A1983PY32000010
000430400800009	A1983PY32000010
000429630600006	A1983PY32000010
000429908000002	A1983PY32000010
000429908000009	A1983PY32000010
000429719400028	A1983PY32000010
000429165200009	A1983PY32000010
000428628900003	A1983PY32000010
000428885700004	A1983PY32000010
000426808200013	A1983PY32000010
000426789300001	A1983PY32000010
000427931600051	A1983PY32000010
000426427800015	A1983PY32000010
000424335600004	A1983PY32000010
000433563600010	A1983PY32000010
000423308900001	A1983PY32000010
000424857500006	A1983PY32000010
000424093800004	A1983PY32000010
000424069200021	A1983PY32000010
000424393000006	A1983PY32000010
000427682300010	A1983PY32000010
000431128000010	A1983PY32000010
000427989300004	A1983PY32000010
000427747400011	A1983PY32000010
000427993800006	A1983PY32000010
000426293500006	A1983PY32000010
000426334000001	A1983PY32000010
000425092300049	A1983PY32000010
000425318400001	A1983PY32000010
000424885700004	A1983PY32000010
000424743700005	A1983PY32000010
000425554200020	A1983PY32000010
000425540700001	A1983PY32000010
000424932900001	A1983PY32000010
000424630400005	A1983PY32000010
000426040000002	A1983PY32000010
000417774900033	A1983PY32000010
000423102600012	A1983PY32000010
000424855300076	A1983PY32000010
000427017200004	A1983PY32000010
000430599000005	A1983PY32000010
000429478000005	A1983PY32000010
000427208300016	A1983PY32000010
000426008200003	A1983PY32000010
000425564100019	A1983PY32000010
000425119100006	A1983PY32000010
000424323600109	A1983PY32000010
000424323600110	A1983PY32000010
000424724700007	A1983PY32000010
000424282400001	A1983PY32000010
000424846500028	A1983PY32000010
000424202400005	A1983PY32000010
000423707100003	A1983PY32000010
000419998900015	A1983PY32000010
000419917100014	A1983PY32000010
000417661000029	A1983PY32000010
000417774900006	A1983PY32000010
000417774900018	A1983PY32000010
000418470200005	A1983PY32000010
000416187000026	A1983PY32000010
