PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BENEDICT, ME; LEVINE, EL								DELAY AND DISTORTION - TACIT INFLUENCES ON PERFORMANCE-APPRAISAL EFFECTIVENESS								JOURNAL OF APPLIED PSYCHOLOGY				73	3			507	514		10.1037/0021-9010.73.3.507				AUG 1988	1988																			0021-9010			WOS:A1988P707800017		
J	Birditt, KS; Fingerman, KL								Do we get better at picking our battles? Age group differences in descriptions of behavioral reactions to interpersonal tensions								JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES				60	3			P121	P128		10.1093/geronb/60.3.P121				MAY 2005	2005																			1079-5014	1758-5368		WOS:000229087900002	15860781	
J	Birditt, KS; Fingerman, KL; Almeida, DM								Age differences in exposure and reactions to interpersonal tensions: A daily diary study								PSYCHOLOGY AND AGING				20	2			330	340		10.1037/0882-7974.20.2.330				JUN 2005	2005																			0882-7974	1939-1498		WOS:000230555600014	16029096	
J	BLANCHARDFIELDS, F; JAHNKE, HC; CAMP, C								AGE-DIFFERENCES IN PROBLEM-SOLVING STYLE - THE ROLE OF EMOTIONAL SALIENCE								PSYCHOLOGY AND AGING				10	2			173	180		10.1037/0882-7974.10.2.173				JUN 1995	1995																			0882-7974			WOS:A1995RD03100003	7662177	
J	Brewer, N; Mitchell, P; Weber, N				Weber, Nathan/E-7085-2010	Brewer, Neil/0000-0003-3465-9244; Weber, Nathan/0000-0002-5611-8919			Gender role organizational status, and conflict management styles								INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT				13	1			78	94		10.1108/eb022868				2002	2002																			1044-4068			WOS:000179073300004		
J	BUTLER, D; GEIS, FL								NONVERBAL AFFECT RESPONSES TO MALE AND FEMALE LEADERS - IMPLICATIONS FOR LEADERSHIP EVALUATIONS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				58	1			48	59		10.1037/0022-3514.58.1.48				JAN 1990	1990																			0022-3514	1939-1315		WOS:A1990CM18200004		
J	CHUSMIR, LH; MILLS, J								GENDER DIFFERENCES IN CONFLICT-RESOLUTION STYLES OF MANAGERS - AT WORK AND AT HOME								SEX ROLES				20	3-4			149	163		10.1007/BF00287988				FEB 1989	1989																			0360-0025			WOS:A1989U964500003		
J	Conway, JM; Huffcutt, AI								Psychometric properties of multisource performance ratings: A meta-analysis of subordinate, supervisor, peer, and self-ratings								HUMAN PERFORMANCE				10	4			331	360		10.1207/s15327043hup1004_2				1997	1997																			0895-9285			WOS:A1997XX97400002		
J	Davis, MH; Capobianco, S; Kraus, LA								Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile								EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT				64	4			707	731		10.1177/0013164404263878				AUG 2004	2004						16th Annual Meeting of the Society-for-Industrial-and-Organizational-Psychology16th Annual Meeting of the Society-for-Industrial-and-Organizational-Psychology	APR 27-29, 2001APR 27-29, 2001	Soc Ind & Org PsycholSoc Ind & Org Psychol	SAN DIEGO, CASAN DIEGO, CA										0013-1644	1552-3888		WOS:000222818800009		
J	De Dreu, CKW; van Dierendonck, D; Maria, TM				De Dreu, Carsten K.W./X-7762-2019; De Dreu, Carsten/G-4215-2010	De Dreu, Carsten K.W./0000-0003-3692-4611; De Dreu, Carsten/0000-0003-3692-4611			Conflict at work and individual well-being								INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT				15	1			6	26		10.1108/eb022905				2004	2004																			1044-4068	1758-8545		WOS:000232826300002		
J	De Dreu, CKW; Weingart, LR				De Dreu, Carsten/G-4215-2010; De Dreu, Carsten K.W./X-7762-2019; Holman, B.J./E-8868-2010	De Dreu, Carsten/0000-0003-3692-4611; De Dreu, Carsten K.W./0000-0003-3692-4611; Weingart, Laurie/0000-0002-2542-7727			Task versus relationship conflict, team performance, and team member satisfaction: A meta-analysis								JOURNAL OF APPLIED PSYCHOLOGY				88	4			741	749		10.1037/0021-9010.88.4.741				AUG 2003	2003																			0021-9010	1939-1854		WOS:000184665500012	12940412	
J	Eagly, AH; Wood, W; Diekman, AB						Eckes, T; Trautner, HM		Social role theory of sex differences and similarities: A current appraisal								DEVELOPMENTAL SOCIAL PSYCHOLOGY OF GENDER								123	174						2000	2000																						CCC:000088143800005		
J	EAGLY, AH; MAKHIJANI, MG; KLONSKY, BG								GENDER AND THE EVALUATION OF LEADERS - A METAANALYSIS								PSYCHOLOGICAL BULLETIN				111	1			3	22		10.1037/0033-2909.111.1.3				JAN 1992	1992																			0033-2909			WOS:A1992GZ64900001		
J	EAGLY, AH; JOHNSON, BT								GENDER AND LEADERSHIP-STYLE - A METAANALYSIS								PSYCHOLOGICAL BULLETIN				108	2			233	256		10.1037/0033-2909.108.2.233				SEP 1990	1990																			0033-2909			WOS:A1990DZ07600004		
J	FUNDER, DC; KOLAR, DC; BLACKMAN, MC				Funder, David/V-8125-2019				AGREEMENT AMONG JUDGES OF PERSONALITY - INTERPERSONAL-RELATIONS, SIMILARITY, AND ACQUAINTANCESHIP								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				69	4			656	672		10.1037/0022-3514.69.4.656				OCT 1995	1995																			0022-3514			WOS:A1995RY39300007	7473024	
J	FUNDER, DC; COLVIN, CR				Funder, David/V-8125-2019				FRIENDS AND STRANGERS - ACQUAINTANCESHIP, AGREEMENT, AND THE ACCURACY OF PERSONALITY JUDGMENT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				55	1			149	158		10.1037/0022-3514.55.1.149				JUL 1988	1988																			0022-3514			WOS:A1988P036100014	3418488	
J	Holt, JL; DeVore, CJ								Culture, gender, organizational role, and styles of conflict resolution: A meta-analysis								INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS				29	2			165	196		10.1016/j.ijintrel.2005.06.002				MAR 2005	2005																			0147-1767			WOS:000231332200003		
J	JAGO, AG; VROOM, VH								SEX-DIFFERENCES IN THE INCIDENCE AND EVALUATION OF PARTICIPATIVE LEADER-BEHAVIOR								JOURNAL OF APPLIED PSYCHOLOGY				67	6			776	783		10.1037/0021-9010.67.6.776				1982	1982																			0021-9010			WOS:A1982PU20700009		
J	KILMANN, RH; THOMAS, KW								DEVELOPING A FORCED-CHOICE MEASURE OF CONFLICT-HANDLING BEHAVIOR - MODE INSTRUMENT								EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT				37	2			309	325		10.1177/001316447703700204				1977	1977																			0013-1644			WOS:A1977DL08100004		
J	KORABIK, K; BARIL, GL; WATSON, C								MANAGERS CONFLICT-MANAGEMENT STYLE AND LEADERSHIP EFFECTIVENESS - THE MODERATING EFFECTS OF GENDER								SEX ROLES				29	5-6			405	420		10.1007/BF00289432				SEP 1993	1993																			0360-0025			WOS:A1993ME87400007		
J	LANDY, FJ; FARR, JL								PERFORMANCE RATING								PSYCHOLOGICAL BULLETIN				87	1			72	107		10.1037/0033-2909.87.1.72				1980	1980																			0033-2909	1939-1455		WOS:A1980JK15300008		
J	NISBETT, RE; WILSON, TD								TELLING MORE THAN WE CAN KNOW - VERBAL REPORTS ON MENTAL PROCESSES								PSYCHOLOGICAL REVIEW				84	3			231	259		10.1037/0033-295X.84.3.231				1977	1977																			0033-295X	1939-1471		WOS:A1977DE32100001		
J	Podsakoff, PM; MacKenzie, SB; Paine, JB; Bachrach, DG				Meierer, Markus J./C-6234-2008				Organizational citizenship behaviors: A critical review of the theoretical and empirical literature and suggestions for future research								JOURNAL OF MANAGEMENT				26	3			513	563		10.1177/014920630002600306				2000	2000																			0149-2063	1557-1211		WOS:000088751800006		
J	RAHIM, MA								A MEASURE OF STYLES OF HANDLING INTERPERSONAL CONFLICT								ACADEMY OF MANAGEMENT JOURNAL				26	2			368	376		10.2307/255985				1983	1983																			0001-4273			WOS:A1983QR22800015	10263067	
J	RENWICK, PA								EFFECTS OF SEX-DIFFERENCES ON PERCEPTION AND MANAGEMENT OF SUPERIOR-SUBORDINATE CONFLICT - EXPLORATORY-STUDY								ORGANIZATIONAL BEHAVIOR AND HUMAN PERFORMANCE				19	2			403	415		10.1016/0030-5073(77)90073-3				1977	1977																			0030-5073			WOS:A1977DQ61500012		
J	Ridgeway, CL								Gender, status, and leadership								JOURNAL OF SOCIAL ISSUES				57	4			637	655		10.1111/0022-4537.00233				WIN 2001	2001																			0022-4537	1540-4560		WOS:000172309100002		
J	ROSENTHAL, DB; HAUTALUOMA, J								EFFECTS OF IMPORTANCE OF ISSUES, GENDER, AND POWER OF CONTENDERS ON CONFLICT-MANAGEMENT STYLE								JOURNAL OF SOCIAL PSYCHOLOGY				128	5			699	701		10.1080/00224545.1988.9922926				OCT 1988	1988																			0022-4545			WOS:A1988R353000016		
J	SHORE, LM; THORNTON, GC								EFFECTS OF GENDER ON SELF-RATINGS AND SUPERVISORY RATINGS								ACADEMY OF MANAGEMENT JOURNAL				29	1			115	129		10.2307/255863				MAR 1986	1986																			0001-4273			WOS:A1986A215200007		
J	Simons, TL; Peterson, RS				Peterson, Randall/ABE-7102-2020; Peterson, Randall/F-2327-2016	Peterson, Randall/0000-0002-4582-4690; 			Task conflict and relationship conflict in top management teams: The pivotal role of intragroup trust								JOURNAL OF APPLIED PSYCHOLOGY				85	1			102	111		10.1037/0021-9010.85.1.102				FEB 2000	2000																			0021-9010	1939-1854		WOS:000085914500010	10740960	
J	Slabbert, AD								Conflict management styles in traditional organisations								SOCIAL SCIENCE JOURNAL				41	1			83	92		10.1016/j.soscij.2003.10.007				2004	2004																			0362-3319	1873-5355		WOS:000188392600007		
J	Thomas, Kenneth W.; Thomas, Gail Fann; Schaubhut, Nancy				Thomas, Gail Fann/AAB-9182-2020	Thomas, Gail Fann/0000-0003-0729-0672			Conflict styles of men and women at six organization levels								INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT				19	2			148	166		10.1108/10444060810856085				2008	2008						66th Annual Meeting of the Academy-of-Management66th Annual Meeting of the Academy-of-Management	AUG 11-16, 2006AUG 11-16, 2006	Acad ManagementAcad Management	Atlanta, GAAtlanta, GA										1044-4068			WOS:000259343700004		
