PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BANDURA, A								THE PSYCHOLOGY OF CHANCE ENCOUNTERS AND LIFE PATHS								AMERICAN PSYCHOLOGIST				37	7			747	755		10.1037/0003-066X.37.7.747				1982	1982																			0003-066X			WOS:A1982NX44700002		
J	BARON, RM; KENNY, DA				Holman, B.J./E-8868-2010				THE MODERATOR MEDIATOR VARIABLE DISTINCTION IN SOCIAL PSYCHOLOGICAL-RESEARCH - CONCEPTUAL, STRATEGIC, AND STATISTICAL CONSIDERATIONS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	6			1173	1182		10.1037/0022-3514.51.6.1173				DEC 1986	1986																			0022-3514			WOS:A1986F285400010	3806354	
J	CROWNE, DP; MARLOWE, D								A NEW SCALE OF SOCIAL DESIRABILITY INDEPENDENT OF PSYCHOPATHOLOGY								JOURNAL OF CONSULTING PSYCHOLOGY				24	4			349	354		10.1037/h0047358				1960	1960																						WOS:A1960CBB2500012	13813058	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH								EMPATHIC CONCERN AND THE MUSCULAR-DYSTROPHY TELETHON - EMPATHY AS A MULTIDIMENSIONAL CONSTRUCT								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				9	2			223	229		10.1177/0146167283092005				1983	1983																			0146-1672			WOS:A1983RR96300005		
J	DIENER, E; LARSEN, RJ; EMMONS, RA								PERSON X SITUATION INTERACTIONS - CHOICE OF SITUATIONS AND CONGRUENCE RESPONSE MODELS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				47	3			580	592		10.1037/0022-3514.47.3.580				1984	1984																			0022-3514			WOS:A1984TM03000011	6491870	
J	EISENBERG, N; FABES, RA								EMPATHY - CONCEPTUALIZATION, MEASUREMENT, AND RELATION TO PROSOCIAL BEHAVIOR								MOTIVATION AND EMOTION				14	2			131	149		10.1007/BF00991640				JUN 1990	1990																			0146-7239	1573-6644		WOS:A1990FQ56400005		
J	EISENBERG, N; MILLER, PA								THE RELATION OF EMPATHY TO PRO-SOCIAL AND RELATED BEHAVIORS								PSYCHOLOGICAL BULLETIN				101	1			91	119		10.1037/0033-2909.101.1.91				JAN 1987	1987																			0033-2909			WOS:A1987F724700005	3562705	
J	EMMONS, RA; DIENER, E								A GOAL AFFECT ANALYSIS OF EVERYDAY SITUATIONAL CHOICES								JOURNAL OF RESEARCH IN PERSONALITY				20	3			309	326		10.1016/0092-6566(86)90137-6				SEP 1986	1986																			0092-6566	1095-7251		WOS:A1986D929400006		
J	EMMONS, RA; DIENER, E; LARSEN, RJ								CHOICE OF SITUATIONS AND CONGRUENCE MODELS OF INTERACTIONISM								PERSONALITY AND INDIVIDUAL DIFFERENCES				6	6			693	702		10.1016/0191-8869(85)90080-7				1985	1985																			0191-8869			WOS:A1985ASY1900004		
J	MISCHEL, W								FUTURE OF PERSONALITY MEASUREMENT								AMERICAN PSYCHOLOGIST				32	4			246	254		10.1037/0003-066X.32.4.246				1977	1977																			0003-066X			WOS:A1977DB73400002	848785	
J	SHAW, LL; BATSON, CD; TODD, RM								EMPATHY AVOIDANCE - FORESTALLING FEELING FOR ANOTHER IN ORDER TO ESCAPE THE MOTIVATIONAL CONSEQUENCES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				67	5			879	887		10.1037/0022-3514.67.5.879				NOV 1994	1994																			0022-3514	1939-1315		WOS:A1994PR42600008		
J	SMITH, KD								TRAIT SYMPATHY AND PERCEIVED CONTROL AS PREDICTORS OF ENTERING SYMPATHY-AROUSING SITUATIONS								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				18	2			207	216		10.1177/0146167292182012				APR 1992	1992																			0146-1672			WOS:A1992HM77200012		
J	SNYDER, M								THE INFLUENCE OF INDIVIDUALS ON SITUATIONS - IMPLICATIONS FOR UNDERSTANDING THE LINKS BETWEEN PERSONALITY AND SOCIAL-BEHAVIOR								JOURNAL OF PERSONALITY				51	3			497	516		10.1111/j.1467-6494.1983.tb00342.x				1983	1983																			0022-3506			WOS:A1983RP50300010	28497608	
J	UNDERWOOD, B; MOORE, B								PERSPECTIVE-TAKING AND ALTRUISM								PSYCHOLOGICAL BULLETIN				91	1			143	173		10.1037/0033-2909.91.1.143				1982	1982																			0033-2909			WOS:A1982NF12700007		
