PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Singh, S; Modi, S; Goyal, S; Kaur, P; Singh, N; Bhatia, T; Deshpande, SN; Khushu, S				Singh, Sadhana; Modi, Shilpi; Goyal, Satnam; Kaur, Prabhjot; Singh, Namita; Bhatia, Triptish; Deshpande, Smita N.; Khushu, Subash			Functional and structural abnormalities associated with empathy in patients with schizophrenia: An fMRI and VBM study	JOURNAL OF BIOSCIENCES																Deshpande, Smita/AAF-8189-2019; Saini, Namita/ABC-9783-2020	Deshpande, Smita/0000-0001-7770-9657; Bhatia, Triptish/0000-0003-0544-9707												0250-5991	0973-7138				JUN	2015	40	2					355	364		10.1007/s12038-015-9509-5							WOS:000355068100015	25963262					
J	Mazza, M; Tempesta, D; Pino, MC; Nigri, A; Catalucci, A; Guadagni, V; Gallucci, M; Iaria, G; Ferrara, M				Mazza, Monica; Tempesta, Daniela; Pino, Maria Chiara; Nigri, Anna; Catalucci, Alessia; Guadagni, Veronica; Gallucci, Massimo; Iaria, Giuseppe; Ferrara, Michele			Neural activity related to cognitive and emotional empathy in post-traumatic stress disorder	BEHAVIOURAL BRAIN RESEARCH																	Mazza, Monica/0000-0003-4050-2243; Iaria, Giuseppe/0000-0002-5987-6491; Ferrara, Michele/0000-0003-2304-7576; Pino, Maria Chiara/0000-0003-2657-2122; Guadagni, Veronica/0000-0002-9309-0652; Nigri, Anna/0000-0002-1197-5458												0166-4328	1872-7549				APR	2015	282						37	45		10.1016/j.bbr.2014.12.049							WOS:000350186000005	25555525					
J	Tobon, C; Ibanez, A; Velilla, L; Duque, J; Ochoa, J; Trujillo, N; Decety, J; Pineda, D				Tobon, Carlos; Ibanez, Agustin; Velilla, Lina; Duque, Jon; Ochoa, John; Trujillo, Natalia; Decety, Jean; Pineda, David			Emotional processing in Colombian ex-combatants and its relationship with empathy and executive functions	SOCIAL NEUROSCIENCE																Ibanez, Agustin/H-7976-2015; Pineda, David/AAE-4785-2020	Ibanez, Agustin/0000-0001-6758-5101; Pineda, David A/0000-0002-1080-4796; , Natalia/0000-0001-7507-1856; Tobon, Carlos/0000-0002-5787-6279												1747-0919	1747-0927				MAR 4	2015	10	2					153	165		10.1080/17470919.2014.969406							WOS:000348928300004	25302548					
J	Rodrigues, J; Ulrich, N; Hewig, J				Rodrigues, Johannes; Ulrich, Natalie; Hewig, Johannes			A neural signature of fairness in altruism: A game of theta?	SOCIAL NEUROSCIENCE																Hewig, Johannes/H-8840-2018; Rodrigues, Johannes/AAT-6671-2020	Hewig, Johannes/0000-0002-8400-189X; Rodrigues, Johannes/0000-0001-8471-0816												1747-0919	1747-0927				MAR 4	2015	10	2					192	205		10.1080/17470919.2014.977401							WOS:000348928300007	25350461					
J	Yager, J				Yager, Joel			Updating Empathy	PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES																													0033-2747	1943-281X					2015	78	2					134	140		10.1080/00332747.2015.1051439							WOS:000358445200005	26168091					
J	Ampuero, D; Miranda, CE; Delgado, LE; Goyen, S; Weaver, S				Ampuero, David; Miranda, Christian E.; Delgado, Luisa E.; Goyen, Samantha; Weaver, Sean			Empathy and critical thinking: primary students solving local environmental problems through outdoor learning	JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING																	Delgado, Luisa/0000-0002-8364-9993												1472-9679	1754-0402					2015	15	1					64	78		10.1080/14729679.2013.848817							WOS:000212202200005						
J	Ampuero, DA; Miranda, C; Goyen, S				Ampuero, David Andres; Miranda, Christian; Goyen, Samantha			Positive psychology in education for sustainable development at a primary-education institution	LOCAL ENVIRONMENT																													1354-9839	1469-6711					2015	20	7					745	763		10.1080/13549839.2013.869199							WOS:000212150800001						
B	Posick, C; Rocque, M; DeLisi, M		DeLisi, M; Vaughn, MG		Posick, Chad; Rocque, Michael; DeLisi, Matt			Empathy, crime, and justice	ROUTLEDGE INTERNATIONAL HANDBOOK OF BIOSOCIAL CRIMINOLOGY	Routledge International Handbooks															DeLisi, Matt/U-9128-2019	DeLisi, Matt/0000-0001-5964-5848														978-1-138-30357-7; 978-1-315-85844-9; 978-0-415-72213-1				2015							571	584									WOS:000437709600039						
J	Laursen, HR; Siebner, HR; Haren, T; Madsen, K; Gronlund, R; Hulme, O; Henningsson, S				Laursen, Helle Ruff; Siebner, Hartwig Roman; Haren, Tina; Madsen, Kristoffer; Gronlund, Rikke; Hulme, Oliver; Henningsson, Susanne			Variation in the oxytocin receptor gene is associated with behavioral and neural correlates of empathic accuracy	FRONTIERS IN BEHAVIORAL NEUROSCIENCE																Madsen, Kristoffer Hougaard/M-9547-2014; Siebner, Hartwig R/G-4052-2016; Hulme, Oliver J/I-2997-2016	Madsen, Kristoffer Hougaard/0000-0001-8606-7641; Hulme, Oliver J/0000-0003-3139-4324												1662-5153					DEC 5	2014	8								423	10.3389/fnbeh.2014.00423							WOS:000347947500001	25538588					
J	Bedwell, JS; Compton, MT; Jentsch, FG; Deptula, AE; Goulding, SM; Tone, EB				Bedwell, Jeffrey S.; Compton, Michael T.; Jentsch, Florian G.; Deptula, Andrew E.; Goulding, Sandra M.; Tone, Erin B.			Latent Factor Modeling of Four Schizotypy Dimensions with Theory of Mind and Empathy	PLOS ONE																	Bedwell, Jeffrey/0000-0002-1205-5792; Tone, Erin/0000-0003-4021-1673												1932-6203					NOV 21	2014	9	11							e113853	10.1371/journal.pone.0113853							WOS:000346906600080	25415195					
J	Tone, EB; Tully, EC				Tone, Erin B.; Tully, Erin C.			Empathy as a "risky strength": A multilevel examination of empathy and risk for internalizing disorders	DEVELOPMENT AND PSYCHOPATHOLOGY																Tully, Erin/L-3980-2016	Tone, Erin/0000-0003-4021-1673												0954-5794	1469-2198				NOV	2014	26	4	2		SI		1547	1565		10.1017/S0954579414001199							WOS:000345576500025	25422978					
J	Baez, S; Manes, F; Huepe, D; Torralva, T; Fiorentino, N; Richter, F; Huepe-Artigas, D; Ferrari, J; Montanes, P; Reyes, P; Matallana, D; Vigliecca, NS; Decety, J; Ibanez, A				Baez, Sandra; Manes, Facundo; Huepe, David; Torralva, Teresa; Fiorentino, Natalia; Richter, Fabian; Huepe-Artigas, Daniela; Ferrari, Jesica; Montanes, Patricia; Reyes, Pablo; Matallana, Diana; Vigliecca, Nora S.; Decety, Jean; Ibanez, Agustin			Primary empathy deficits in frontotemporal dementia	FRONTIERS IN AGING NEUROSCIENCE																Ibanez, Agustin/H-7976-2015; Reyes, Pablo/N-6695-2017	Ibanez, Agustin/0000-0001-6758-5101; Reyes, Pablo/0000-0001-6705-7157; Matallana-Eslava, Diana L./0000-0001-6529-7077; Huepe, David/0000-0001-8351-5314; Baez, Sandra/0000-0003-0875-1709; Vigliecca, Nora Silvana/0000-0003-3545-0610												1663-4365					OCT 10	2014	6								262	10.3389/fnagi.2014.00262							WOS:000347873000001	25346685					
J	Christov-Moore, L; Simpson, EA; Coude, G; Grigaityte, K; Iacoboni, M; Ferrari, PF				Christov-Moore, Leonardo; Simpson, Elizabeth A.; Coude, Gino; Grigaityte, Kristina; Iacoboni, Marco; Ferrari, Pier Francesco			Empathy: Gender effects in brain and behavior	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS																Ferrari, Pier Francesco/G-5547-2017; Simpson, Elizabeth A./H-5479-2019	Simpson, Elizabeth A./0000-0003-2715-2533												0149-7634	1873-7528				OCT	2014	46		4		SI		604	627		10.1016/j.neubiorev.2014.09.001							WOS:000348012800012	25236781					
J	Emery, HT; McElwain, NL; Groh, AM; Haydon, KC; Roisman, GI				Emery, Helen T.; McElwain, Nancy L.; Groh, Ashley M.; Haydon, Katherine C.; Roisman, Glenn I.			Maternal Dispositional Empathy and Electrodermal Reactivity: Interactive Contributions to Maternal Sensitivity With Toddler-Aged Children	JOURNAL OF FAMILY PSYCHOLOGY																													0893-3200	1939-1293				AUG	2014	28	4					505	515		10.1037/a0036986							WOS:000349217400007	24955589					
J	Baskin-Sommers, A; Krusemark, E; Ronningstam, E				Baskin-Sommers, Arielle; Krusemark, Elizabeth; Ronningstam, Elsa			Empathy in Narcissistic Personality Disorder: From Clinical and Empirical Perspectives	PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT																	Baskin-Sommers, Arielle/0000-0001-6773-0508												1949-2715	1949-2723				JUL	2014	5	3					323	333		10.1037/per0000061							WOS:000339663900009	24512457					
J	van Lissa, CJ; Hawk, ST; de Wied, M; Koot, HM; van Lier, P; Meeus, W				van Lissa, Caspar J.; Hawk, Skyler T.; de Wied, Minet; Koot, Hans M.; van Lier, Pol; Meeus, Wim			The Longitudinal Interplay of Affective and Cognitive Empathy Within and Between Adolescents and Mothers	DEVELOPMENTAL PSYCHOLOGY																Meeus, Wim/H-8099-2013	Koot, Hans/0000-0002-9643-2363												0012-1649	1939-0599				APR	2014	50	4					1219	1225		10.1037/a0035050							WOS:000334524200026	24219315					
J	Sierksma, J; Thijs, J; Verkuyten, M				Sierksma, Jellie; Thijs, Jochem; Verkuyten, Maykel			With a Little Help From My Friends: Bystander Context and Children's Attitude Toward Peer Helping	JOURNAL OF SOCIAL PSYCHOLOGY																Sierksma, Jellie/S-8703-2019	Sierksma, Jellie/0000-0002-1690-5811												0022-4545	1940-1183				MAR 4	2014	154	2					142	154		10.1080/00224545.2013.872595							WOS:000331032200006	24765819					
J	Parkinson, C; Wheatley, T				Parkinson, Carolyn; Wheatley, Thalia			Relating Anatomical and Social Connectivity: White Matter Microstructure Predicts Emotional Empathy	CEREBRAL CORTEX																	Parkinson, Carolyn/0000-0001-7128-3480												1047-3211	1460-2199				MAR	2014	24	3					614	625		10.1093/cercor/bhs347							WOS:000331845700005	23162046					
J	Buckholdt, KE; Parra, GR; Jobe-Shields, L				Buckholdt, Kelly E.; Parra, Gilbert R.; Jobe-Shields, Lisa			Intergenerational Transmission of Emotion Dysregulation Through Parental Invalidation of Emotions: Implications for Adolescent Internalizing and Externalizing Behaviors	JOURNAL OF CHILD AND FAMILY STUDIES																													1062-1024	1573-2843				FEB	2014	23	2					324	332		10.1007/s10826-013-9768-4							WOS:000329653600015	24855329					
J	Sidanius, J; Kteily, N; Sheehy-Skeffington, J; Ho, AK; Sibley, C; Duriez, B				Sidanius, Jim; Kteily, Nour; Sheehy-Skeffington, Jennifer; Ho, Arnold K.; Sibley, Chris; Duriez, Bart			You're Inferior and Not Worth Our Concern: The Interface Between Empathy and Social Dominance Orientation	JOURNAL OF PERSONALITY																Sibley, Chris G/D-2974-2009; Duriez, Bart/AAE-2261-2020; Duriez, Bart/D-9907-2011	Sibley, Chris G/0000-0002-4064-8800; 												0022-3506	1467-6494				JUN	2013	81	3					313	323		10.1111/jopy.12008							WOS:000318950100007	23072294					
S	Siegel, JZ; Crockett, MJ		Vilarroya, O; Tobena, A		Siegel, Jenifer Z.; Crockett, Molly J.			How serotonin shapes moral judgment and behavior	SOCIABILITY, RESPONSIBILITY, AND CRIMINALITY: FROM LAB TO LAW	Annals of the New York Academy of Sciences				2nd Barcelona Social Brain Conference on Neuroethics - From Lab to Law-A Scientific Scrutiny of Sociability, Responsibility and Criminality	NOV 12-13, 2012	Barcelona, SPAIN									Crockett, Molly/F-8217-2014	Crockett, Molly/0000-0001-8800-410X												0077-8923		978-1-57331-872-3				2013	1299						42	51		10.1111/nyas.12229							WOS:000325924700006	25627116					
J	Ahn, SJ; Le, AMT; Bailenson, J				Ahn, Sun Joo (Grace); Amanda Minh Tran Le; Bailenson, Jeremy			The Effect of Embodied Experience on Self-Other Merging Attitude, and Helping Behaviour	MEDIA PSYCHOLOGY																													1521-3269	1532-785X				JAN 1	2013	16	1					7	38		10.1080/15213269.2012.755877							WOS:000327837200002						
J	Jacobson, KC; Hoffman, CL; Vasilopoulos, T; Kremen, WS; Panizzon, MS; Grant, MD; Lyons, MJ; Xian, H; Franz, CE				Jacobson, Kristen C.; Hoffman, Christy L.; Vasilopoulos, Terrie; Kremen, William S.; Panizzon, Matthew S.; Grant, Michael D.; Lyons, Michael J.; Xian, Hong; Franz, Carol E.			Genetic and Environmental Influences on Individual Differences in Frequency of Play with Pets among Middle-Aged Men: A Behavioral Genetic Analysis	ANTHROZOOS																Vasilopoulos, Terrie/AAF-9157-2019; Baines, Andrew/B-3491-2014; Jacobson, Kristen C/D-2064-2009	Lyons, Michael/0000-0001-6516-9219; Kremen, William/0000-0002-8629-5609; Hoffman, Christy/0000-0003-3077-6363; Franz, Carol/0000-0002-8987-1755												0892-7936	1753-0377				DEC	2012	25	4					441	456		10.2752/175303712X13479798785814							WOS:000310947400004	25580056					
J	Banissy, MJ; Kanai, R; Walsh, V; Rees, G				Banissy, Michael J.; Kanai, Ryota; Walsh, Vincent; Rees, Geraint			Inter-individual differences in empathy are reflected in human brain structure	NEUROIMAGE																Rees, Geraint/C-1493-2008	Rees, Geraint/0000-0002-9623-7007; Kanai, Ryota/0000-0002-0186-2687												1053-8119	1095-9572				SEP	2012	62	3					2034	2039		10.1016/j.neuroimage.2012.05.081							WOS:000307369000070	22683384					
J	Cox, CL; Uddin, LQ; Di Martino, A; Castellanos, FX; Milham, MP; Kelly, C				Cox, Christine L.; Uddin, Lucina Q.; Di Martino, Adriana; Castellanos, F. Xavier; Milham, Michael P.; Kelly, Clare			The balance between feeling and knowing: affective and cognitive empathy are reflected in the brain's intrinsic functional dynamics	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE																Di Martino, Adriana/X-5030-2019; Castellanos, Francisco Xavier/K-1892-2014; Uddin, Lucina/AAE-7168-2019; Milham, Michael P/K-9501-2014; Kelly, Clare/H-4629-2016; Milham, Michael P./Y-3160-2019; Di Martino, Adriana/L-2497-2014	Di Martino, Adriana/0000-0001-6927-290X; Castellanos, Francisco Xavier/0000-0001-9192-9437; Kelly, Clare/0000-0001-8253-357X; Uddin, Lucina/0000-0003-2278-8962												1749-5016	1749-5024				AUG	2012	7	6					727	737		10.1093/scan/nsr051							WOS:000308233400012	21896497					
J	Mellor, D; Fung, SWT; Muhammad, NHBM				Mellor, David; Fung, Sheryn Wei Ting; Muhammad, Norul Hidayah Binti Mamat			Forgiveness, Empathy and Gender-A Malaysian Perspective	SEX ROLES																	Mellor, David/0000-0001-5007-5906												0360-0025	1573-2762				JUL	2012	67	1-2					98	107		10.1007/s11199-012-0144-4							WOS:000304664800008						
J	Acharya, R; Dolan, M				Acharya, Rupali; Dolan, Mairead			Impact of antisocial and psychopathic traits on emotional facial expression recognition in alcohol abusers	PERSONALITY AND MENTAL HEALTH																													1932-8621	1932-863X				MAY	2012	6	2					126	137		10.1002/pmh.179							WOS:000303916900004						
J	Miklikowska, M; Duriez, B; Soenens, B				Miklikowska, Marta; Duriez, Bart; Soenens, Bart			Family Roots of Empathy-Related Characteristics: The Role of Perceived Maternal and Paternal Need Support in Adolescence	DEVELOPMENTAL PSYCHOLOGY																Miklikowska, Marta/J-6255-2012; Duriez, Bart/D-9907-2011; Miklikowska, Marta/L-2059-2019; Soenens, Bart/M-6956-2018; Duriez, Bart/AAE-2261-2020	Miklikowska, Marta/0000-0003-2087-1869; Soenens, Bart/0000-0003-1581-3656; 												0012-1649	1939-0599				SEP	2011	47	5					1342	1352		10.1037/a0024726							WOS:000294528700011	21767014					
B	Hodges, SD; Clark, BAM; Myers, MW		BiswasDiener, R		Hodges, Sara D.; Clark, Brian A. M.; Myers, Michael W.			Better Living Through Perspective Taking	POSITIVE PSYCHOLOGY AS SOCIAL CHANGE																Clark, Brian A. M./L-6430-2019															978-90-481-9937-2				2011							193	218		10.1007/978-90-481-9938-9_12	10.1007/978-90-481-9938-9						WOS:000285804100012						
J	McFarland, S				McFarland, Sam			Authoritarianism, Social Dominance, and Other Roots of Generalized Prejudice	POLITICAL PSYCHOLOGY																													0162-895X	1467-9221				JUN	2010	31	3					453	477		10.1111/j.1467-9221.2010.00765.x							WOS:000277528500006						
J	Bradshaw, JWS; Paul, ES				Bradshaw, J. W. S.; Paul, E. S.			Could empathy for animals have been an adaptation in the evolution of Homo sapiens?	ANIMAL WELFARE																													0962-7286					MAY	2010	19			S			107	112									WOS:000277415200014						
J	Poyhonen, V; Juvonen, J; Salmivalli, C				Poyhonen, Virpi; Juvonen, Jaana; Salmivalli, Christina			What Does It Take to Stand Up for the Victim of Bullying? The Interplay Between Personal and Social Factors	MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY																	Salmivalli, Christina/0000-0002-6253-146X												0272-930X	1535-0266				APR	2010	56	2					143	163									WOS:000279335500003						
J	Lee, SA				Lee, Sherman A.			Does empathy mediate the relationship between neuroticism and depressive symptomatology among college students?	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Lee, Sherman/0000-0003-1878-3472												0191-8869					OCT	2009	47	5					429	433		10.1016/j.paid.2009.04.020							WOS:000267842200008						
J	Newman-Norlund, RD; Ganesh, S; van Schie, HT; De Bruijn, ERA; Bekkering, H				Newman-Norlund, Roger D.; Ganesh, Shanti; van Schie, Hein T.; De Bruijn, Ellen R. A.; Bekkering, Harold			Self-identification and empathy modulate error-related brain activity during the observation of penalty shots between friend and foe	SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE																van Schie, Hein T/D-2281-2010; Bekkering, Harold/A-6357-2009													1749-5016	1749-5024				MAR	2009	4	1					10	22		10.1093/scan/nsn028							WOS:000264398000002	19015079					
J	Gregory, AM; Light-Hausermann, JH; Rijsdijk, F; Eley, TC				Gregory, Alice M.; Light-Hausermann, Jade H.; Rijsdijk, Fruehling; Eley, Thalia C.			Behavioral genetic analyses of prosocial behavior in adolescents	DEVELOPMENTAL SCIENCE																Eley, Thalia/D-4811-2011; Rijsdijk, Fruhling V/B-4191-2011; Gregory, Alice/AAF-8022-2019	Eley, Thalia/0000-0001-6458-0700; Rijsdijk, Fruhling/0000-0003-4762-2803												1363-755X					JAN	2009	12	1					165	174		10.1111/j.1467-7687.2008.00739.x							WOS:000261961400021	19120424					
J	Lee, SA				Lee, Sherman A.			Measuring Individual Differences in Trait Sympathy: Instrument Construction and Validation	JOURNAL OF PERSONALITY ASSESSMENT																	Lee, Sherman/0000-0003-1878-3472												0022-3891						2009	91	6					568	583	PII 915903745	10.1080/00223890903228620							WOS:000271650300007	19838907					
J	Caravita, SCS; Di Blasio, P; Salmivalli, C				Caravita, Simona C. S.; Di Blasio, Paola; Salmivalli, Christina			Unique and Interactive Effects of Empathy and Social Status on Involvement in Bullying	SOCIAL DEVELOPMENT																	Caravita, Simona Carla Silvia/0000-0003-3108-1512; Salmivalli, Christina/0000-0002-6253-146X; DI BLASIO, PAOLA/0000-0001-7456-3840												0961-205X	1467-9507					2009	18	1					140	163		10.1111/j.1467-9507.2008.00465.x							WOS:000262487800007						
J	Twernlow, SW; Bennett, T				Twernlow, Stuart W.; Bennett, Tanya			Psychic plasticity, resilience, and reactions to media violence - What is the right question?	AMERICAN BEHAVIORAL SCIENTIST																													0002-7642	1552-3381				APR	2008	51	8					1155	1183		10.1177/0002764207312017							WOS:000253947500005						
J	Sautter, JA; Littvay, L; Bearnes, B				Sautter, John A.; Littvay, Levente; Bearnes, Brennen			A dual-edged sword: Empathy and collective action in the prisoner's dilemma	ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE																Littvay, Levente/E-1136-2018	Littvay, Levente/0000-0003-2022-6886												0002-7162	1552-3349				NOV	2007	614						154	171		10.1177/0002716207306360							WOS:000250670000008						
J	Graziano, WG; Habashi, MM; Sheese, BE; Tobin, RA				Graziano, William G.; Habashi, Meara M.; Sheese, Brad E.; Tobin, Renee A.			Agreeableness, empathy, and helping: A person X situation perspective	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																	Tobin, Renee/0000-0002-0224-6296												0022-3514	1939-1315				OCT	2007	93	4					583	599		10.1037/0022-3514.93.4.583							WOS:000249615000006	17892333					
J	Bekkers, R				Bekkers, Rene			Intergenerational transmission of volunteering	ACTA SOCIOLOGICA																Bekkers, Rene/A-1862-2012	Bekkers, Rene/0000-0002-4403-7222												0001-6993					JUN	2007	50	2					99	114		10.1177/0001699307077653							WOS:000247428600001						
J	Volbrecht, MM; Lemery-Chalfant, K; Aksan, N; Zahn-Waxler, C; Goldsmith, HH				Volbrecht, Michele M.; Lemery-Chalfant, Kathryn; Aksan, Nazan; Zahn-Waxler, Carolyn; Goldsmith, H. Hill			Examining the familial link between positive affect and empathy development in the second year	JOURNAL OF GENETIC PSYCHOLOGY																Aksan, Nazan/P-4246-2016	Aksan, Nazan/0000-0003-4997-4386												0022-1325	1940-0896				JUN	2007	168	2					105	129		10.3200/GNTP.168.2.105-130							WOS:000249623200002	17936968					
J	Miller, GF				Miller, Geoffrey F.			Sexual selection for moral virtues	QUARTERLY REVIEW OF BIOLOGY																Miller, Geoffrey F/C-4145-2008	Miller, Geoffrey F/0000-0002-6026-5372												0033-5770	1539-7718				JUN	2007	82	2					97	125		10.1086/517857							WOS:000246787600002	17583267					
J	Soenens, B; Duriez, B; Vansteenkiste, M; Goossens, L				Soenens, Bart; Duriez, Bart; Vansteenkiste, Maarten; Goossens, Luc			The intergenerational transmission of empathy-related responding in adolescence: The role of maternal support	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																Duriez, Bart/D-9907-2011; Soenens, Bart/M-6956-2018; Vansteenkiste, Maarten/ABF-2193-2020; Duriez, Bart/AAE-2261-2020	Soenens, Bart/0000-0003-1581-3656; Goossens, Luc/0000-0003-3851-0412												0146-1672					MAR	2007	33	3					299	311		10.1177/0146167206296300							WOS:000244646000001	17312313					
B	Lahey, BB; Waldman, ID		Flannery, DJ; Vazsonyi, AT; Waldman, ID		Lahey, Benjamin B.; Waldman, Irwin D.			Personality Dispositions and the Development of Violence and Conduct Problems	CAMBRIDGE HANDBOOK OF VIOLENT BEHAVIOR AND AGGRESSION	Cambridge Handbooks in Psychology																														978-0-52184-567-0				2007							260	287			10.1017/CBO9780511816840						WOS:000298097000013						
J	Knafo, A; Plomin, R				Knafo, Ariel; Plomin, Robert			Prosocial behavior from early to middle childhood: Genetic and environmental influences on stability and change	DEVELOPMENTAL PSYCHOLOGY																Plomin, Robert/B-8911-2008; Knafo-Noam, Ariel/E-8067-2011	Knafo-Noam, Ariel/0000-0003-0613-1960; Plomin, Robert/0000-0002-0756-3629												0012-1649	1939-0599				SEP	2006	42	5					771	786		10.1037/0012-1649.42.5.771							WOS:000240530500002	16953685					
J	Takezawa, M; Gummerum, M; Keller, M				Takezawa, M; Gummerum, M; Keller, M			A stage for the rational tail of the emotional dog: Roles of moral reasoning in group decision making	JOURNAL OF ECONOMIC PSYCHOLOGY																	Takezawa, Masanori/0000-0003-4103-0591												0167-4870	1872-7719				FEB	2006	27	1					117	139		10.1016/j.joep.2005.06.012							WOS:000235250500008						
J	McFarland, S; Mathews, M				McFarland, S; Mathews, M			Who cares about human rights?	POLITICAL PSYCHOLOGY																													0162-895X					JUN	2005	26	3					365	385		10.1111/j.1467-9221.2005.00422.x							WOS:000229034200002						
J	Penner, LA; Dovidio, JF; Piliavin, JA; Schroeder, DA				Penner, LA; Dovidio, JF; Piliavin, JA; Schroeder, DA			Prosocial behavior: Multilevel perspectives	ANNUAL REVIEW OF PSYCHOLOGY	Annual Review of Psychology																												0066-4308	1545-2085					2005	56						365	392		10.1146/annurev.psych.56.091103.070141							WOS:000227503800015	15709940					
S	Lahey, BB; Waldman, ID		Farrington, DP		Lahey, Benjamin B.; Waldman, Irwin D.			A Developmental Model of the Propensity to Offend during Childhood and Adolescence	INTEGRATED DEVELOPMENTAL & LIFE-COURSE THEORIES OF OFFENDING	Advances in Criminological Theory																												0894-2366		978-1-4128-0799-9; 978-1-4128-0928-3; 978-0-7658-0280-4				2005	14						15	50									WOS:000313794500004						
J	Nelson, DW; Baumgarte, R				Nelson, DW; Baumgarte, R			Cross-cultural misunderstandings reduce empathic responding	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																													0021-9029					FEB	2004	34	2					391	401		10.1111/j.1559-1816.2004.tb02553.x							WOS:000188953100008						
J	Harton, HC; Lyons, PC				Harton, HC; Lyons, PC			Gender, empathy, and the choice of the psychology major	TEACHING OF PSYCHOLOGY																													0098-6283					WIN	2003	30	1					19	24		10.1207/S15328023TOP3001_03							WOS:000180785900002						
J	Kornreich, C; Foisy, ML; Philippot, P; Dan, B; Tecco, J; Noel, X; Hess, U; Pelc, I; Verbanck, P				Kornreich, C; Foisy, ML; Philippot, P; Dan, B; Tecco, J; Noel, X; Hess, U; Pelc, I; Verbanck, P			Impaired emotional facial expression recognition in alcoholics, opiate dependence subjects, methadone maintained subjects and mixed alcohol-opiate antecedents subjects compared with normal controls	PSYCHIATRY RESEARCH																Hess, Ursula/B-6736-2008	Hess, Ursula/0000-0002-6793-7282; Kornreich, Charles/0000-0002-4898-5588; Dan, Bernard/0000-0002-2051-9876												0165-1781					AUG 1	2003	119	3					251	260		10.1016/S0165-1781(03)00130-6							WOS:000184726800006	12914896					
J	Nelson, DW; Klein, CTF; Irvin, JE				Nelson, DW; Klein, CTF; Irvin, JE			Motivational antecedents of empathy: Inhibiting effects of fatigue	BASIC AND APPLIED SOCIAL PSYCHOLOGY																													0197-3533					MAR	2003	25	1					37	50		10.1207/S15324834BASP2501_3							WOS:000181300300003						
J	Zeidner, M; Matthews, G; Roberts, RD; MacCann, C				Zeidner, M; Matthews, G; Roberts, RD; MacCann, C			Development of emotional intelligence: Towards a multi-level investment model	HUMAN DEVELOPMENT																Matthews, G/AAM-2968-2020; MacCann, Carolyn/H-7590-2013	Matthews, G/0000-0003-4869-338X; MacCann, Carolyn/0000-0001-7789-6368												0018-716X	1423-0054				MAR-JUN	2003	46	2-3					69	96		10.1159/000068580							WOS:000181694600001						
J	Bjerke, T; Ostdahl, T; Kleiven, J				Bjerke, T; Ostdahl, T; Kleiven, J			Attitudes and activities related to urban wildlife: Pet owners and non-owners	ANTHROZOOS																													0892-7936						2003	16	3					252	262		10.2752/089279303786992125							WOS:000220316100005						
J	DiLalla, LF				DiLalla, LF			Behavior genetics of aggression in children: Review and future directions	DEVELOPMENTAL REVIEW																	DiLalla, Lisabeth/0000-0003-0784-2916												0273-2297	1090-2406				DEC	2002	22	4					593	622	PII S0273-2297(02)00504-X	10.1016/S0273-2297(02)00504-X							WOS:000179840900002						
J	Manger, T; Eikeland, OJ; Asbjornsen, A				Manger, T; Eikeland, OJ; Asbjornsen, A			Effects of social-cognitive training on students' empathy	SWISS JOURNAL OF PSYCHOLOGY																	Asbjornsen, Arve/0000-0001-8571-3138												1421-0185					JUN	2001	60	2					82	88		10.1024//1421-0185.60.2.82							WOS:000170634200004						
J	Cap, J; Drabkova, H				Cap, J; Drabkova, H			Twins, interaction of heredity, bio-social handicaps, and family parenting styles	CESKOSLOVENSKA PSYCHOLOGIE																													0009-062X	1804-6436					2001	45	4					338	346									WOS:000171103900005						
J	Constantine, MG				Constantine, MG			Social desirability attitudes, sex, and affective and cognitive empathy as predictors of self-reported multicultural counseling competence	COUNSELING PSYCHOLOGIST																													0011-0000					NOV	2000	28	6					857	872		10.1177/0011000000286008							WOS:000089635000008						
J	Paul, ES				Paul, ES			Empathy with animals and with humans: Are they linked?	ANTHROZOOS																													0892-7936						2000	13	4					194	202		10.2752/089279300786999699							WOS:000170575900001						
