PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Bogacz, F; Pun, T; Klimecki, OM				Bogacz, Francois; Pun, Thierry; Klimecki, Olga M.			Improved conflict resolution in romantic couples in mediation compared to negotiation	HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS																														2662-9992				OCT 21	2020	7	1							131	10.1057/s41599-020-00622-8							WOS:000586409700001						
J	Guerrero, LK				Guerrero, Laura K.			Conflict Style Associations with Cooperativeness, Directness, and Relational Satisfaction: A Case for a Six-Style Typology	NEGOTIATION AND CONFLICT MANAGEMENT RESEARCH																													1750-4708	1750-4716				FEB	2020	13	1					24	43		10.1111/ncmr.12156							WOS:000506877800002						
B	Rozsa, Z		Loster, T; Pavelka, T		Rozsa, Zoltan			THE RELATIONS BETWEEN CONFLICT RESOLUTION STYLES AND ENTREPRENEURIAL PROPENSITY. EDUCATIONAL MANAGEMENT CHALLENGES	13TH INTERNATIONAL DAYS OF STATISTICS AND ECONOMICS					13th International Days of Statistics and Economics	SEP 05-07, 2019	Prague, CZECH REPUBLIC	Univ Econ, Dept Stat & Probabil, Univ Econ, Dept Microecon, Tech Univ Kosice, Fac Econ, Ton Duc Thung Univ																							978-80-87990-18-6				2019							1290	1298		10.18267/pr.2019.los.186.129							WOS:000589182000131						
J	Beitler, LA; Scherer, S; Zapf, D				Beitler, Lena A.; Scherer, Sonja; Zapf, Dieter			Interpersonal conflict at work: Age and emotional competence differences in conflict management	ORGANIZATIONAL PSYCHOLOGY REVIEW																													2041-3866	2041-3874				NOV	2018	8	4					195	227		10.1177/2041386618808346							WOS:000461182600001						
J	Davis, MH; Schoenfeld, MB; Flores, EJ				Davis, Mark H.; Schoenfeld, Michael B.; Flores, Elizabeth J.			Predicting conflict acts using behavior and style measures	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT																													1044-4068	1758-8545					2018	29	1					70	90		10.1108/IJCMA-06-2016-0046							WOS:000424005800004						
J	Doerwald, F; Scheibe, S; Zacher, H; Van Yperen, NW				Doerwald, Friederike; Scheibe, Susanne; Zacher, Hannes; Van Yperen, Nico W.			Emotional Competencies Across Adulthood: State of Knowledge and Implications for the Work Context	WORK AGING AND RETIREMENT																Van Yperen, Nico W./C-2341-2012; Zacher, Hannes/X-1659-2018; Scheibe, Susanne/G-6017-2012	Van Yperen, Nico W./0000-0003-2116-8841; Zacher, Hannes/0000-0001-6336-2947; Doerwald, Friederike/0000-0002-0549-4746; Scheibe, Susanne/0000-0003-1001-6199												2054-4642	2054-4650				APR	2016	2	2					159	216		10.1093/workar/waw013							WOS:000375803300004						
J	Beitler, LA; Machowski, S; Johnson, S; Zapf, D				Beitler, Lena Aline; Machowski, Sabine; Johnson, Sheena; Zapf, Dieter			Conflict management and age in service professions	INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT																	Johnson, Sheena/0000-0002-6687-2333												1044-4068	1758-8545					2016	27	3					302	330		10.1108/IJCMA-10-2015-0070							WOS:000381313800001						
J	Coleman, PT; Kugler, KG				Coleman, Peter T.; Kugler, Katharina G.			Tracking managerial conflict adaptivity: Introducing a dynamic measure of adaptive conflict management in organizations	JOURNAL OF ORGANIZATIONAL BEHAVIOR																													0894-3796	1099-1379				OCT	2014	35	7					945	968		10.1002/job.1935							WOS:000345411300005						
J	Davis, MH; Capobianco, S; Kraus, LA				Davis, Mark H.; Capobianco, Sal; Kraus, Linda A.			Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES																													0360-0025	1573-2762				OCT	2010	63	7-8					500	514		10.1007/s11199-010-9828-9							WOS:000281740800005						
J	Voracek, M; Schicker, K				Voracek, Martin; Schicker, Kerstin			Digit Ratio (2D:4D) and Behavioral Responses to Everyday Life and Workplace-Related Interpersonal Conflict	SWISS JOURNAL OF PSYCHOLOGY																Voracek, Martin/S-5865-2016	Voracek, Martin/0000-0001-6109-6155												1421-0185	1662-0879					2010	69	1					31	37		10.1024/1421-0185/a000004							WOS:000274822700005						
J	Davis, MH; Kraus, LA; Capobianco, S				Davis, Mark H.; Kraus, Linda A.; Capobianco, Sal			AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT																													0091-4150	1541-3535					2009	68	4					339	355		10.2190/AG.68.4.d							WOS:000268845400004	19711620					
J	Birditt, KS; Fingerman, KL; Almeida, DM				Birditt, KS; Fingerman, KL; Almeida, DM			Age differences in exposure and reactions to interpersonal tensions: A daily diary study	PSYCHOLOGY AND AGING																													0882-7974	1939-1498				JUN	2005	20	2					330	340		10.1037/0882-7974.20.2.330							WOS:000230555600014	16029096					
