PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Batson, CD; Chang, J; Orr, R; Rowland, J								Empathy, attitudes, and action: Can feeling for a member of a stigmatized group motivate one to help the group?								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				28	12			1656	1666		10.1177/014616702237647				DEC 2002	2002																			0146-1672			WOS:000179255300004		
J	BODENMANN, G								A SYSTEMIC-TRANSACTIONAL CONCEPTUALIZATION OF STRESS AND COPING IN COUPLES								SWISS JOURNAL OF PSYCHOLOGY				54	1			34	49						1995	1995																			0036-7869			WOS:A1995RD09100003		
J	Bolger, N; Zuckerman, A; Kessler, RC				Bolger, Niall/Y-6435-2019; Bolger, Niall/A-9934-2008	Bolger, Niall/0000-0001-8698-8117; Bolger, Niall/0000-0001-8698-8117			Invisible support and adjustment to stress								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				79	6			953	961		10.1037//0022-3514.79.6.953				DEC 2000	2000																			0022-3514			WOS:000165850900008	11138764	
J	Bolger, Niall; Amarel, David				Bolger, Niall/Y-6435-2019; Bolger, Niall/A-9934-2008	Bolger, Niall/0000-0001-8698-8117; Bolger, Niall/0000-0001-8698-8117			Effects of social support visibility on adjustment to stress experimental evidence								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				92	3			458	475		10.1037/0022-3514.92.3.458				MAR 2007	2007																			0022-3514	1939-1315		WOS:000244629500006	17352603	
J	Bradbury, TN; Karney, BR				Karney, Benjamin/AAG-1632-2019	Karney, Benjamin/0000-0002-9063-6162			Understanding and altering the longitudinal course of marriage								JOURNAL OF MARRIAGE AND FAMILY				66	4			862	879		10.1111/j.0022-2445.2004.00059.x				NOV 2004	2004						65th Annual Meeting of the National-Council-on-Family-Relations65th Annual Meeting of the National-Council-on-Family-Relations	NOV 19-22, 2003NOV 19-22, 2003	Natl Council Family RelatNatl Council Family Relat	Vancouver, CANADAVancouver, CANADA										0022-2445	1741-3737		WOS:000224493200003		
J	Bradbury, TN; Fincham, FD; Beach, SRH				Fincham, Frank/A-2357-2008	Fincham, Frank/0000-0001-5081-2283			Research on the nature and determinants of marital satisfaction: A decade in review								JOURNAL OF MARRIAGE AND FAMILY				62	4			964	980		10.1111/j.1741-3737.2000.00964.x				NOV 2000	2000																			0022-2445	1741-3737		WOS:000165273300007		
B	Bradley, Margaret M.; Lang, Peter J.						Cacioppo, JT; Tassinary, LG; Berntson, GG		Emotion and Motivation								HANDBOOK OF PSYCHOPHYSIOLOGY, 3RD EDITION								581	607		10.1017/CBO9780511546396.025	10.2277/ 0521844711			2007	2007																					978-0-521-84471-0	WOS:000296960500025		
J	Carels, RA; Baucom, DH								Support in marriage: Factors associated with on-line perceptions of support helpfulness								JOURNAL OF FAMILY PSYCHOLOGY				13	2			131	144		10.1037/0893-3200.13.2.131				JUN 1999	1999																			0893-3200			WOS:000080906500001		
J	CIALDINI, RB; DARBY, BL; VINCENT, JE								TRANSGRESSION AND ALTRUISM - CASE FOR HEDONISM								JOURNAL OF EXPERIMENTAL PSYCHOLOGY				9	6			502	516		10.1016/0022-1031(73)90031-0				1973	1973																			0022-1015			WOS:A1973R338500003		
J	Cialdini, RB; Brown, SL; Lewis, BP; Luce, C; Neuberg, SL								Reinterpreting the empathy-altruism relationship: When one into one equals oneness								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				73	3			481	494		10.1037/0022-3514.73.3.481				SEP 1997	1997																			0022-3514	1939-1315		WOS:A1997XU35200005	9294898	
J	Conger, RD; Rueter, MA; Elder, GH								Couple resilience to economic pressure								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				76	1			54	71		10.1037/0022-3514.76.1.54				JAN 1999	1999																			0022-3514			WOS:000078323600005	9972553	
J	Cramer, D								How a supportive partner may increase relationship satisfaction								BRITISH JOURNAL OF GUIDANCE & COUNSELLING				34	1			117	131		10.1080/03069880500483141				FEB 2006	2006																			0306-9885			WOS:000235426900008		
J	Cramer, D								Satisfaction with a romantic relationship, depression, support and conflict								PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE				77				449	461		10.1348/1476083042555389				DEC 2004	2004																			1476-0835	2044-8341		WOS:000225979900003	15588454	
J	CUTRONA, CE				Cutrona, Carolyn E/A-4870-2013				OBJECTIVE DETERMINANTS OF PERCEIVED SOCIAL SUPPORT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				50	2			349	355		10.1037/0022-3514.50.2.349				FEB 1986	1986																			0022-3514			WOS:A1986C109000014	3701582	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	De Clercq, A; Buysse, A; Roeyers, H; Ickes, W; Ponnet, K; Verhofstadt, L				Ponnet, Koen/K-9389-2017; Declercq, Anja G./G-8014-2011; Ponnet, Koen/AAE-4589-2019; Roeyers, Herbert/A-5557-2018	Ponnet, Koen/0000-0002-6911-7632; Declercq, Anja G./0000-0003-3136-124X; Ponnet, Koen/0000-0002-6911-7632; Roeyers, Herbert/0000-0002-4895-583X			VIDANN: A video annotation system								BEHAVIOR RESEARCH METHODS INSTRUMENTS & COMPUTERS				33	2			159	166		10.3758/BF03195361				MAY 2001	2001						30th Annual Meeting of the Society-for-Computers-in-Psychology (SCiP)30th Annual Meeting of the Society-for-Computers-in-Psychology (SCiP)	NOV   16, 2000NOV   16, 2000	Soc Comp PsycholSoc Comp Psychol	NEW ORLEANS, LOUISIANANEW ORLEANS, LOUISIANA										0743-3808			WOS:000169646200010	11447668	
J	EISENBERG, N; FABES, RA; SCHALLER, M; MILLER, P; CARLO, G; POULIN, R; SHEA, C; SHELL, R				Carlo, Gustavo/AAN-6177-2020	Carlo, Gustavo/0000-0002-4967-241X			PERSONALITY AND SOCIALIZATION CORRELATES OF VICARIOUS EMOTIONAL RESPONDING								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				61	3			459	470		10.1037/0022-3514.61.3.459				SEP 1991	1991																			0022-3514	1939-1315		WOS:A1991GD39200011	1941517	
J	Gleason, Marci E. J.; Bolger, Niall; Iida, Masumi; Shrout, Patrick E.				Bolger, Niall/A-9934-2008; Bolger, Niall/Y-6435-2019	Bolger, Niall/0000-0001-8698-8117; Bolger, Niall/0000-0001-8698-8117; Iida, Masumi/0000-0001-5173-9663			Receiving support as a mixed blessing: Evidence for dual effects of support on psychological outcomes								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				94	5			824	838		10.1037/0022-3514.94.5.824				MAY 2008	2008																			0022-3514			WOS:000255293700006	18444741	
J	Gohm, CL; Clore, GL						Barrett, LF; Salovey, P		Affect as information - An individual-differences approach								WISDOM IN FEELING		EMOTIONS AND SOCIAL BEHAVIOR						89	113						2002	2002																						CCC:000179339700005		
J	Gottman, JM; Notarius, CI								Decade review: Observing marital interaction								JOURNAL OF MARRIAGE AND THE FAMILY				62	4			927	947		10.1111/j.1741-3737.2000.00927.x				NOV 2000	2000																			0022-2445			WOS:000165273300005		
J	Gracia, E; Herrero, J				Olaizola, Juan Herrero/B-9907-2011; Gracia, Enrique/B-7105-2008	Olaizola, Juan Herrero/0000-0002-0146-2464; Gracia, Enrique/0000-0003-0514-2983			Personal and situational determinants of relationship-specific perceptions of social support								SOCIAL BEHAVIOR AND PERSONALITY				32	5			459	476		10.2224/sbp.2004.32.5.459				2004	2004																			0301-2212			WOS:000222514200006		
J	Haxby, James V.; Gobbini, M. Ida								The perception of emotion and social cues in faces								NEUROPSYCHOLOGIA				45	1			1	1		10.1016/j.neuropsychologia.2006.11.001				2007	2007																			0028-3932			WOS:000243439900001	17109900	
J	ICKES, W								EMPATHIC ACCURACY								JOURNAL OF PERSONALITY				61	4			587	610		10.1111/j.1467-6494.1993.tb00783.x				DEC 1993	1993																			0022-3506			WOS:A1993MY59000008		
J	ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S								NATURALISTIC SOCIAL COGNITION - EMPATHIC ACCURACY IN MIXED-SEX DYADS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				59	4			730	742		10.1037/0022-3514.59.4.730				OCT 1990	1990																			0022-3514			WOS:A1990ED50400011		
J	Iida, Masumi; Seidman, Gwendolyn; Shrout, Patrick E.; Fujita, Kentaro; Bolger, Niall				Bolger, Niall/Y-6435-2019; Bolger, Niall/A-9934-2008; Fujita, Kentaro/G-2311-2011	Bolger, Niall/0000-0001-8698-8117; Bolger, Niall/0000-0001-8698-8117; Iida, Masumi/0000-0001-5173-9663			Modeling support provision in intimate relationships								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				94	3			460	478		10.1037/0022-3514.94.3.460				MAR 2008	2008																			0022-3514	1939-1315		WOS:000253389800006	18284292	
J	Kilpatrick, SD; Bissonnette, VL; Rusbult, CE								Empathic accuracy and accommodative behavior among newly married couples								PERSONAL RELATIONSHIPS				9	4			369	393		10.1111/1475-6811.09402				DEC 2002	2002																			1350-4126			WOS:000179365600002		
B	Lang, PJ; Bradley, MM; Cuthbert, BN						Lang, PJ; Simons, RF; Balaban, MT		Motivated attention: Affect, activation, and action								ATTENTION AND ORIENTING: SENSORY AND MOTIVATIONAL PROCESSES								97	135						1997	1997						Conference in Honor of Frances Keesler Graham - Attention and Orienting: Sensory and Motivational ProcessesConference in Honor of Frances Keesler Graham - Attention and Orienting: Sensory and Motivational Processes	OCT, 1994OCT, 1994	SPR; Amer Psychol Soc; Univ Delaware; NIMH Ctr Study Emot & AttentSPR; Amer Psychol Soc; Univ Delaware; NIMH Ctr Study Emot & Attent	ATLANTA, GAATLANTA, GA												0-8058-2089-2	WOS:A1997BJ08Q00005		
J	LEVENSON, RW; RUEF, AM								EMPATHY - A PHYSIOLOGICAL SUBSTRATE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				63	2			234	246		10.1037/0022-3514.63.2.234				AUG 1992	1992																			0022-3514			WOS:A1992JH48100005	1403614	
J	Neff, LA; Karney, BR				Karney, Benjamin/AAG-1632-2019	Karney, Benjamin/0000-0002-9063-6162			Gender differences in social support: A question of skill or responsiveness?								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				88	1			79	90		10.1037/0022-3514.88.1.79				JAN 2005	2005																			0022-3514			WOS:000226178400006	15631576	
J	NEWCOMB, MD								SOCIAL SUPPORT AND PERSONAL CHARACTERISTICS - A DEVELOPMENTAL AND INTERACTIONAL PERSPECTIVE								JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY				9	1			54	68		10.1521/jscp.1990.9.1.54				SPR 1990	1990																			0736-7236			WOS:A1990CW38700006		
J	Pasch, LA; Bradbury, TN								Social support, conflict, and the development of marital dysfunction								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				66	2			219	230		10.1037/0022-006X.66.2.219				APR 1998	1998																			0022-006X			WOS:000073178500001	9583325	
J	Penner, LA; Dovidio, JF; Piliavin, JA; Schroeder, DA								Prosocial behavior: Multilevel perspectives								ANNUAL REVIEW OF PSYCHOLOGY		Annual Review of Psychology		56				365	392		10.1146/annurev.psych.56.091103.070141				2005	2005																			0066-4308	1545-2085		WOS:000227503800015	15709940	
J	Preston, SD; de Waal, FBM				Preston, Stephanie/U-6518-2019; xiaoqian, zhu/AAP-9482-2020				Empathy: Its ultimate and proximate bases								BEHAVIORAL AND BRAIN SCIENCES				25	1			1	+		10.1017/S0140525X02000018				FEB 2002	2002																			0140-525X			WOS:000183685900001	12625087	
J	Saitzyk, AR; Floyd, FJ; Kroll, AB								Sequential analysis of autonomy-interdependence and affiliation-disaffiliation in couples' social support interactions								PERSONAL RELATIONSHIPS				4	4			341	360		10.1111/j.1475-6811.1997.tb00150.x				DEC 1997	1997																			1350-4126			WOS:A1997YH62900004		
J	SPANIER, GB								MEASURING DYADIC ADJUSTMENT - NEW SCALES FOR ASSESSING QUALITY OF MARRIAGE AND SIMILAR DYADS								JOURNAL OF MARRIAGE AND THE FAMILY				38	1			15	28		10.2307/350547				1976	1976																			0022-2445			WOS:A1976BK46600002		
J	TOI, M; BATSON, CD								MORE EVIDENCE THAT EMPATHY IS A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	2			281	292		10.1037/0022-3514.43.2.281				1982	1982																			0022-3514			WOS:A1982PA92700008		
J	Verhofstadt, Lesley L.; Buysse, Ann; Devoldre, Inge; De Corte, Kim								THE INFLUENCE OF PERSONAL CHARACTERISTICS AND RELATIONSHIP PROPERTIES ON MARITAL SUPPORT								PSYCHOLOGICA BELGICA				47	3			195	217		10.5334/pb-47-3-195				2007	2007																			0033-2879			WOS:000208293600003		
J	Verhofstadt, Lesley L.; Buysse, Ann; Ickes, William								Social support in couples: An examination of gender differences using self-report and observational methods								SEX ROLES				57	3-4			267	282		10.1007/s11199-007-9257-6				AUG 2007	2007																			0360-0025	1573-2762		WOS:000248916300010		
J	Verhofstadt, LL; Buysse, A; Ickes, W; De Clercq, A; Peene, OJ				Declercq, Anja G./G-8014-2011	Declercq, Anja G./0000-0003-3136-124X			Conflict and support interactions in marriage: An analysis of couples' interactive behavior and on-line cognition								PERSONAL RELATIONSHIPS				12	1			23	42		10.1111/j.1350-4126.2005.00100.x				MAR 2005	2005																			1350-4126	1475-6811		WOS:000227072300002		
J	WISPE, L								THE DISTINCTION BETWEEN SYMPATHY AND EMPATHY - TO CALL FORTH A CONCEPT, A WORD IS NEEDED								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				50	2			314	321		10.1037/0022-3514.50.2.314				FEB 1986	1986																			0022-3514	1939-1315		WOS:A1986C109000010		
