PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Haegerich, TM; Bottoms, BL				Haegerich, TM; Bottoms, BL			Empathy and jurors' decisions in patricide trials involving child sexual assault allegations	LAW AND HUMAN BEHAVIOR																													0147-7307	1573-661X				AUG	2000	24	4					421	448		10.1023/A:1005592213294							WOS:000088570000004	10974801					
J	Finlay, KA; Trafimow, D				Finlay, KA; Trafimow, D			The relationship between the private self and helping victims of AIDS	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																													0021-9029	1559-1816				OCT 15	1998	28	19					1798	1809		10.1111/j.1559-1816.1998.tb01346.x							WOS:000076385300003						
J	LitvackMiller, W; McDougall, D; Romney, DM				LitvackMiller, W; McDougall, D; Romney, DM			The structure of empathy during middle childhood and its relationship to prosocial behavior	GENETIC SOCIAL AND GENERAL PSYCHOLOGY MONOGRAPHS																													8756-7547					AUG	1997	123	3					303	324									WOS:A1997XP84600003	9259121					
J	Olsen-Fulero, L; Fulero, SM				Olsen-Fulero, L; Fulero, SM			Commonsense rape judgments - A empathy-complexity theory of rape juror story making	PSYCHOLOGY PUBLIC POLICY AND LAW																													1076-8971					JUN-SEP	1997	3	2-3					402	427									WOS:000071878700009						
J	GELINAS, L; ALAIN, M				GELINAS, L; ALAIN, M			EXPERT PSYCHOLOGICAL TESTIMONY - EVALUATION OF 2 TYPES OF REPORTS AND THEIR INFLUENCE ON THE PERCEPTION OF POTENTIAL JURORS	CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT																													0008-400X					APR	1993	25	2					175	192		10.1037/h0078806							WOS:A1993KU57700003						
J	BARNETT, MA; FEIERSTEIN, MD; JAET, BP; SAUNDERS, LC; QUACKENBUSH, SW; SINISI, CS				BARNETT, MA; FEIERSTEIN, MD; JAET, BP; SAUNDERS, LC; QUACKENBUSH, SW; SINISI, CS			THE EFFECT OF KNOWING A RAPE VICTIM ON REACTIONS TO OTHER VICTIMS	JOURNAL OF INTERPERSONAL VIOLENCE																													0886-2605					MAR	1992	7	1					44	56		10.1177/088626092007001004							WOS:A1992HG18000004						
J	MEHRABIAN, A; YOUNG, AL; SATO, S				MEHRABIAN, A; YOUNG, AL; SATO, S			EMOTIONAL EMPATHY AND ASSOCIATED INDIVIDUAL-DIFFERENCES	CURRENT PSYCHOLOGY-RESEARCH & REVIEWS																													0737-8262					FAL	1988	7	3					221	240		10.1007/BF02686670							WOS:A1988T154600004						
J	FORD, MC				FORD, MC			THE ROLE OF EXTRALEGAL FACTORS IN JURY VERDICTS	JUSTICE SYSTEM JOURNAL																													0098-261X					SPR	1986	11	1					16	39									WOS:A1986E982800002						
J	PHILLIPS, DM				PHILLIPS, DM			DEFENSIVE ATTRIBUTION OF RESPONSIBILITY IN JURIDIC DECISIONS	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																													0021-9029						1985	15	5					483	501		10.1111/j.1559-1816.1985.tb02267.x							WOS:A1985APU8600006						
J	ARCHER, RL				ARCHER, RL			THE FARMER AND THE COWMAN SHOULD BE FRIENDS - AN ATTEMPT AT RECONCILIATION WITH BATSON, COKE, AND PYCH	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1984	46	3					709	711		10.1037/0022-3514.46.3.709							WOS:A1984SG68100021						
J	DEITZ, SR; BLACKWELL, KT; DALEY, PC; BENTLEY, BJ				DEITZ, SR; BLACKWELL, KT; DALEY, PC; BENTLEY, BJ			MEASUREMENT OF EMPATHY TOWARD RAPE VICTIMS AND RAPISTS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1982	43	2					372	384		10.1037/0022-3514.43.2.372							WOS:A1982PA92700018	7120042					
J	ARCHER, RL; DIAZLOVING, R; GOLLWITZER, PM; DAVIS, MH; FOUSHEE, HC				ARCHER, RL; DIAZLOVING, R; GOLLWITZER, PM; DAVIS, MH; FOUSHEE, HC			THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514						1981	40	4					786	796		10.1037/0022-3514.40.4.786							WOS:A1981LR08600018						
