PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AUSTIN, BA								LONELINESS AND USE OF 6 MASS-MEDIA AMONG COLLEGE-STUDENTS								PSYCHOLOGICAL REPORTS				56	1			323	327		10.2466/pr0.1985.56.1.323				1985	1985																			0033-2941			WOS:A1985ADA2500069	3983320	
J	FRANZOI, SL; DAVIS, MH								ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				48	3			768	780		10.1037/0022-3514.48.3.768				1985	1985																			0022-3514	1939-1315		WOS:A1985ADU4900024	3989669	
J	HOOVER, S; SKUJA, A; COSPER, J								CORRELATES OF COLLEGE-STUDENTS LONELINESS								PSYCHOLOGICAL REPORTS				44	3			1116	1116		10.2466/pr0.1979.44.3c.1116				1979	1979																			0033-2941			WOS:A1979HK66700020	538143	
J	JONES, WH; HOBBS, SA; HOCKENBURY, D								LONELINESS AND SOCIAL SKILL DEFICITS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				42	4			682	689		10.1037/0022-3514.42.4.682				1982	1982																			0022-3514			WOS:A1982NK75600010	7077525	
J	PERLMAN, D; GERSON, AC; SPINNER, B								LONELINESS AMONG SENIOR CITIZENS - EMPIRICAL-REPORT								ESSENCE				2	4			239	248						1978	1978																			0384-8833			WOS:A1978GN10300004		
J	PILISUK, M; MINKLER, M								SUPPORTIVE NETWORKS - LIFE TIES FOR THE ELDERLY								JOURNAL OF SOCIAL ISSUES				36	2			95	116		10.1111/j.1540-4560.1980.tb02024.x				1980	1980																			0022-4537			WOS:A1980KL25700008		
J	ROOK, KS								PROMOTING SOCIAL BONDING - STRATEGIES FOR HELPING THE LONELY AND SOCIALLY ISOLATED								AMERICAN PSYCHOLOGIST				39	12			1389	1407		10.1037/0003-066X.39.12.1389				1984	1984																			0003-066X	1935-990X		WOS:A1984TX99000005		
J	RUSSELL, D; PEPLAU, LA; CUTRONA, CE				Russell, Daniel/A-7559-2013; Cutrona, Carolyn E/A-4870-2013	Russell, Daniel/0000-0003-2264-861X; 			THE REVISED UCLA LONELINESS SCALE - CONCURRENT AND DISCRIMINANT VALIDITY EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				39	3			472	480		10.1037/0022-3514.39.3.472				1980	1980																			0022-3514			WOS:A1980KH70600010	7431205	
J	SOLANO, CH; BATTEN, PG; PARISH, EA					SOLANO GARCIA, CECILIA GUILIANA/0000-0003-3814-3579			LONELINESS AND PATTERNS OF SELF-DISCLOSURE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				43	3			524	531		10.1037/0022-3514.43.3.524				1982	1982																			0022-3514			WOS:A1982PF75000010	7131239	
